Title;Price;;;
Citroen C4;455 555 ₸;;;
ВАЗ (Lada) 2110 (седан);456 789 ₸;;;
Daewoo Nexia;460 000 ₸;;;
Opel Vectra;462 500 ₸;;;
ВАЗ (Lada) 2110 (седан);465 000 ₸;;;
Mitsubishi Lancer;470 000 ₸;;;
ВАЗ (Lada) 2110 (седан);475 000 ₸;;;
Volkswagen Jetta;477 770 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);480 000 ₸;;;
ВАЗ (Lada) 2110 (седан);485 000 ₸;;;
Mitsubishi Lancer;490 000 ₸;;;
Mitsubishi Lancer;494 900 ₸;;;
ВАЗ (Lada) 21099 (седан);499 900 ₸;;;
УАЗ Hunter;499 990 ₸;;;
Nissan Sunny;499 994 ₸;;;
ВАЗ (Lada) 2104;499 995 ₸;;;
ЗАЗ Sens;499 999 ₸;;;
Opel Vectra;500 000 ₸;;;
Volkswagen Vento;500 001 ₸;;;
Mitsubishi Space Runner;500 005 ₸;;;
Mitsubishi Pajero;500 055 ₸;;;
Geely MK;500 555 ₸;;;
Volkswagen Golf;501 000 ₸;;;
Ford Galaxy;501 613 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);501 667 ₸;;;
ВАЗ (Lada) 21099 (седан);503 333 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);505 000 ₸;;;
Mercedes-Benz S 65 AMG;505 050 ₸;;;
ВАЗ (Lada) 2108 (хэтчбек);510 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);515 000 ₸;;;
BMW 520;516 000 ₸;;;
ВАЗ (Lada) 2107;517 857 ₸;;;
Nissan Bluebird;519 999 ₸;;;
Mazda 323;520 000 ₸;;;
Москвич 412;523 000 ₸;;;
ВАЗ (Lada) 2113 (хэтчбек);525 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);530 000 ₸;;;
ВАЗ (Lada) 2111 (универсал);530 950 ₸;;;
Daewoo Espero;535 000 ₸;;;
ВАЗ (Lada) 2110 (седан);538 933 ₸;;;
ВАЗ (Lada) 2112 (хэтчбек);540 000 ₸;;;
ВАЗ (Lada) 2115 (седан);545 545 ₸;;;
Audi 100;549 000 ₸;;;
Mazda 626;549 826 ₸;;;
Volkswagen Jetta;549 990 ₸;;;
Audi 80;550 000 ₸;;;
Mazda Cronos;550 500 ₸;;;
Volkswagen Polo;550 555 ₸;;;
ВАЗ (Lada) 2121 Нива;550 900 ₸;;;
Mitsubishi Galant;553 500 ₸;;;
Chevrolet Lanos;555 000 ₸;;;
Nissan Primera;555 000 ₸;;;
Mitsubishi Space Runner;555 111 ₸;;;
Toyota Mark X;555 500 ₸;;;
SsangYong Actyon;555 533 ₸;;;
ВАЗ (Lada) 2104;555 555 ₸;;;
ЗАЗ Chance;555 666 ₸;;;
Volkswagen Golf;560 000 ₸;;;
ВАЗ (Lada) 21099 (седан);560 212 ₸;;;
Mitsubishi Galant;562 000 ₸;;;
Audi 80;563 400 ₸;;;
ВАЗ (Lada) 2115 (седан);565 000 ₸;;;
Mitsubishi Lancer;565 656 ₸;;;
ГАЗ 31105 (Волга);567 890 ₸;;;
Mercedes-Benz 190;570 000 ₸;;;
ВАЗ (Lada) 2107;575 000 ₸;;;
FAW Vita;577 222 ₸;;;
Audi 80;580 000 ₸;;;
ВАЗ (Lada) 2110 (седан);582 137 ₸;;;
ВАЗ (Lada) 2107;585 000 ₸;;;
Mazda 323;589 000 ₸;;;
ВАЗ (Lada) 2115 (седан);590 000 ₸;;;
ВАЗ (Lada) 2106;590 706 ₸;;;
ВАЗ (Lada) 21099 (седан);591 253 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);595 000 ₸;;;
Opel Vectra;597 000 ₸;;;
ВАЗ (Lada) 2101;597 039 ₸;;;
Ford KA;599 000 ₸;;;
ВАЗ (Lada) 2105;599 999 ₸;;;
ВАЗ (Lada) 21099 (седан);600 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);600 307 ₸;;;
Volkswagen Golf;602 000 ₸;;;
ВАЗ (Lada) 2110 (седан);605 000 ₸;;;
ВАЗ (Lada) 2121 Нива;609 000 ₸;;;
Audi 80;610 000 ₸;;;
Audi 80;611 011 ₸;;;
ВАЗ (Lada) 2107;612 000 ₸;;;
ВАЗ (Lada) 2112 (хэтчбек);615 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);616 000 ₸;;;
Audi 80;619 990 ₸;;;
Chevrolet Lanos;619 999 ₸;;;
Volkswagen Passat;620 000 ₸;;;
Nissan Primera;625 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);630 000 ₸;;;
ВАЗ (Lada) 21099 (седан);631 000 ₸;;;
Daewoo Nexia;633 333 ₸;;;
Nissan Sunny;636 250 ₸;;;
Mazda 626;640 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);642 488 ₸;;;
ВАЗ (Lada) 2107;645 000 ₸;;;
Nissan Sunny;645 882 ₸;;;
ВАЗ (Lada) 2110 (седан);646 738 ₸;;;
Mercedes-Benz C 180;649 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);650 000 ₸;;;
Nissan Vanette;650 000 ₸;;;
ВАЗ (Lada) 2115 (седан);651 580 ₸;;;
ВАЗ (Lada) 2106;652 769 ₸;;;
УАЗ Буханка;655 000 ₸;;;
ВАЗ (Lada) 2107;656 596 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);660 000 ₸;;;
ВАЗ (Lada) 21099 (седан);666 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);666 666 ₸;;;
ВАЗ (Lada) 2107;670 000 ₸;;;
ВАЗ (Lada) 21099 (седан);675 000 ₸;;;
ВАЗ (Lada) 2115 (седан);677 045 ₸;;;
Kia Credos;677 777 ₸;;;
Daewoo Nexia;680 000 ₸;;;
ГАЗ 3110 (Волга);683 596 ₸;;;
ВАЗ (Lada) 2107;685 000 ₸;;;
Mazda Cronos;690 000 ₸;;;
ВАЗ (Lada) 2112 (хэтчбек);692 500 ₸;;;
Opel Vectra;693 000 ₸;;;
Opel Vectra;695 000 ₸;;;
Daewoo Nexia;699 000 ₸;;;
Volkswagen Passat;699 999 ₸;;;
ВАЗ (Lada) 2107;700 000 ₸;;;
Toyota Carina E;700 007 ₸;;;
Geely SC7;700 700 ₸;;;
ВАЗ (Lada) 2103;701 111 ₸;;;
Opel Omega;703 000 ₸;;;
ВАЗ (Lada) 2107;703 805 ₸;;;
Audi 100;705 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);706 564 ₸;;;
ЗАЗ Chance;707 000 ₸;;;
ВАЗ (Lada) 2113 (хэтчбек);707 438 ₸;;;
FAW V5;708 500 ₸;;;
Mazda Xedos 6;708 777 ₸;;;
ВАЗ (Lada) 2115 (седан);710 000 ₸;;;
Opel Frontera;711 333 ₸;;;
Mitsubishi Airtrek;714 952 ₸;;;
Audi 80;715 000 ₸;;;
ВАЗ (Lada) 2107;717 935 ₸;;;
Opel Vectra;718 750 ₸;;;
Volkswagen Golf;719 000 ₸;;;
ВАЗ (Lada) 2110 (седан);720 000 ₸;;;
ВАЗ (Lada) 2107;720 804 ₸;;;
ВАЗ (Lada) 21099 (седан);722 064 ₸;;;
Opel Calibra;724 210 ₸;;;
Audi 80;728 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);728 985 ₸;;;
Audi 100;730 000 ₸;;;
Mitsubishi Pajero Junior;733 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);733 333 ₸;;;
ВАЗ (Lada) Priora 2172 (хэтчбек);735 000 ₸;;;
ВАЗ (Lada) 21099 (седан);736 592 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);740 000 ₸;;;
Mitsubishi Space Wagon;740 000 ₸;;;
Daewoo Magnus;740 217 ₸;;;
Volkswagen Passat;745 000 ₸;;;
Audi A4;745 491 ₸;;;
Volkswagen Golf;749 000 ₸;;;
Nissan Primera;749 999 ₸;;;
УАЗ 469;750 000 ₸;;;
Audi 80;750 500 ₸;;;
ВАЗ (Lada) 21099 (седан);750 650 ₸;;;
ВАЗ (Lada) 21099 (седан);751 364 ₸;;;
Daewoo Nexia;751 380 ₸;;;
Mazda MPV;752 500 ₸;;;
Hyundai Elantra;754 677 ₸;;;
Audi 100;755 000 ₸;;;
Toyota Alphard;755 666 ₸;;;
Daewoo Nexia;756 000 ₸;;;
Mazda 626;758 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);760 000 ₸;;;
ВАЗ (Lada) 2106;764 000 ₸;;;
Nissan Primera;765 000 ₸;;;
Nissan Primera;765 819 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);766 000 ₸;;;
Nissan Prairie;768 800 ₸;;;
Volkswagen Vento;770 000 ₸;;;
Nissan Primera;770 481 ₸;;;
ВАЗ (Lada) 2121 Нива;775 000 ₸;;;
Mitsubishi Galant;775 755 ₸;;;
ВАЗ (Lada) 2112 (хэтчбек);776 000 ₸;;;
Opel Calibra;776 563 ₸;;;
Volkswagen Golf;776 691 ₸;;;
Honda Accord;777 000 ₸;;;
Opel Frontera;777 474 ₸;;;
Toyota Carina E;777 555 ₸;;;
Nissan Primera;777 700 ₸;;;
ВАЗ (Lada) 2106;777 777 ₸;;;
Audi 80;780 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);785 000 ₸;;;
Audi A4;787 787 ₸;;;
Lifan Breez;787 804 ₸;;;
Volkswagen Vento;787 877 ₸;;;
Mercedes-Benz 190;787 878 ₸;;;
Audi 80;789 000 ₸;;;
Nissan Almera;789 456 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);790 000 ₸;;;
ВАЗ (Lada) 2115 (седан);791 248 ₸;;;
ВАЗ (Lada) 2115 (седан);795 000 ₸;;;
Daewoo Matiz;795 555 ₸;;;
ВАЗ (Lada) 2107;799 000 ₸;;;
Volkswagen Passat;799 990 ₸;;;
Mitsubishi Galant;799 999 ₸;;;
Chevrolet Lanos;800 000 ₸;;;
Audi 80;800 000 ₸;;;
Hyundai Matrix;800 008 ₸;;;
Nissan Primera;800 888 ₸;;;
Audi 80;801 000 ₸;;;
Nissan Primera;801 202 ₸;;;
Mitsubishi Galant;802 472 ₸;;;
Daewoo Matiz;805 200 ₸;;;
Audi 80;807 012 ₸;;;
Honda Odyssey;808 000 ₸;;;
ВАЗ (Lada) 2115 (седан);808 080 ₸;;;
ВАЗ (Lada) 2112 (хэтчбек);810 000 ₸;;;
Volkswagen Passat;811 000 ₸;;;
Mercedes-Benz E 230;815 000 ₸;;;
Volkswagen Polo;817 650 ₸;;;
Daewoo Nexia;818 000 ₸;;;
Volkswagen Golf;820 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);830 000 ₸;;;
Daewoo Matiz;832 000 ₸;;;
Volkswagen Golf;835 000 ₸;;;
Mazda 626;840 000 ₸;;;
Mitsubishi Galant;845 000 ₸;;;
ИЖ 2717;846 153 ₸;;;
ВАЗ (Lada) 21099 (седан);848 684 ₸;;;
Mazda 626;849 000 ₸;;;
Daewoo Nexia;849 990 ₸;;;
Opel Omega;849 999 ₸;;;
Volkswagen Vento;850 000 ₸;;;
УАЗ Буханка;850 400 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);855 555 ₸;;;
ВАЗ (Lada) 2107;858 000 ₸;;;
ВАЗ (Lada) 2115 (седан);860 000 ₸;;;
Mitsubishi Galant;861 487 ₸;;;
ВАЗ (Lada) 2107;865 000 ₸;;;
ВАЗ (Lada) 2115 (седан);865 714 ₸;;;
Daewoo Nexia;868 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);870 000 ₸;;;
ВАЗ (Lada) 2110 (седан);873 065 ₸;;;
ВАЗ (Lada) Kalina 1118 (седан);873 900 ₸;;;
Mazda Xedos 9;875 000 ₸;;;
ВАЗ (Lada) 2110 (седан);877 000 ₸;;;
ЗАЗ Chance;880 000 ₸;;;
Lifan X60;880 088 ₸;;;
ВАЗ (Lada) 2110 (седан);880 792 ₸;;;
ВАЗ (Lada) 2110 (седан);885 000 ₸;;;
Mazda MPV;888 000 ₸;;;
Audi 80;888 161 ₸;;;
ВАЗ (Lada) 2115 (седан);888 707 ₸;;;
BMW 520;888 771 ₸;;;
Daewoo Matiz;888 888 ₸;;;
Peugeot 206;889 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);890 000 ₸;;;
Opel Vectra;890 000 ₸;;;
ЗАЗ 968;890 000 ₸;;;
Daewoo Nexia;890 000 ₸;;;
Opel Vectra;890 000 ₸;;;
ВАЗ (Lada) Priora 2170 (седан);890 000 ₸;;;
Mitsubishi Space Wagon;890 000 ₸;;;
Volkswagen Golf;890 000 ₸;;;
ВАЗ (Lada) 2110 (седан);890 000 ₸;;;
Volkswagen Passat;890 000 ₸;;;
Opel Vectra;890 000 ₸;;;
Mazda 626;890 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);890 000 ₸;;;
Mercedes-Benz 190;890 000 ₸;;;
Mercedes-Benz E 200;890 000 ₸;;;
Ford KA;890 000 ₸;;;
Volkswagen Passat;890 000 ₸;;;
ВАЗ (Lada) 2115 (седан);890 000 ₸;;;
Daewoo Nexia;890 000 ₸;;;
Mercedes-Benz E 230;890 000 ₸;;;
Hyundai Starex;890 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);890 000 ₸;;;
Volkswagen Golf;890 000 ₸;;;
Daewoo Espero;890 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);890 000 ₸;;;
Mitsubishi Space Wagon;890 000 ₸;;;
Opel Omega;890 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);890 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);890 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);890 000 ₸;;;
Ford Mondeo;890 000 ₸;;;
ВАЗ (Lada) 2110 (седан);890 000 ₸;;;
Mitsubishi Space Wagon;890 000 ₸;;;
Volkswagen Passat;890 000 ₸;;;
Audi 80;890 000 ₸;;;
ВАЗ (Lada) 2115 (седан);890 000 ₸;;;
ВАЗ (Lada) 2111 (универсал);890 000 ₸;;;
Volkswagen Golf;890 000 ₸;;;
Nissan Sunny;890 000 ₸;;;
ЗАЗ Chance;891 667 ₸;;;
ВАЗ (Lada) 2107;895 000 ₸;;;
Nissan Primera;898 000 ₸;;;
Audi 80;899 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
Volkswagen Golf;900 000 ₸;;;
Ford Transit;900 000 ₸;;;
Opel Astra;900 000 ₸;;;
Volkswagen Golf;900 000 ₸;;;
Mazda Cronos;900 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
Opel Vectra;900 000 ₸;;;
Mazda 626;900 000 ₸;;;
Audi 100;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 21099 (седан);900 000 ₸;;;
ЗАЗ Sens;900 000 ₸;;;
Opel Vectra;900 000 ₸;;;
Opel Vectra;900 000 ₸;;;
Opel Vectra;900 000 ₸;;;
Toyota Corolla;900 000 ₸;;;
Audi 100;900 000 ₸;;;
ВАЗ (Lada) 2105;900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
Mitsubishi Diamante;900 000 ₸;;;
Mitsubishi Space Wagon;900 000 ₸;;;
ВАЗ (Lada) 2121 Нива;900 000 ₸;;;
ВАЗ (Lada) 21099 (седан);900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
Seat Cordoba;900 000 ₸;;;
Mitsubishi Galant;900 000 ₸;;;
BMW 318;900 000 ₸;;;
Mitsubishi Galant;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
Volkswagen Vento;900 000 ₸;;;
Audi 80;900 000 ₸;;;
Peugeot 406;900 000 ₸;;;
Daewoo Matiz;900 000 ₸;;;
Mazda 323;900 000 ₸;;;
ВАЗ (Lada) 2106;900 000 ₸;;;
Volkswagen Transporter;900 000 ₸;;;
Opel Astra;900 000 ₸;;;
Daewoo Matiz;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
Mercedes-Benz 190;900 000 ₸;;;
Ford Scorpio;900 000 ₸;;;
Audi 90;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2112 (хэтчбек);900 000 ₸;;;
Nissan Primera;900 000 ₸;;;
Audi 100;900 000 ₸;;;
ВАЗ (Lada) 21099 (седан);900 000 ₸;;;
Honda Accord;900 000 ₸;;;
Opel Vectra;900 000 ₸;;;
ВАЗ (Lada) 2107;900 000 ₸;;;
Opel Vectra;900 000 ₸;;;
Nissan Primera;900 000 ₸;;;
Nissan Almera;900 000 ₸;;;
Mazda 626;900 000 ₸;;;
ВАЗ (Lada) 2107;900 000 ₸;;;
Audi 100;900 000 ₸;;;
Audi 80;900 000 ₸;;;
ВАЗ (Lada) 2105;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
Mazda 626;900 000 ₸;;;
ВАЗ (Lada) 2112 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2112 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2107;900 000 ₸;;;
Volkswagen Golf;900 000 ₸;;;
Nissan Primera;900 000 ₸;;;
Opel Vectra;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
Daewoo Espero;900 000 ₸;;;
Audi 90;900 000 ₸;;;
Mazda 626;900 000 ₸;;;
Mercedes-Benz E 300;900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
Volkswagen Jetta;900 000 ₸;;;
Mazda 323;900 000 ₸;;;
BMW 318;900 000 ₸;;;
ВАЗ (Lada) 21099 (седан);900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
Volkswagen Golf;900 000 ₸;;;
Mitsubishi Galant;900 000 ₸;;;
Mazda 626;900 000 ₸;;;
Mitsubishi RVR;900 000 ₸;;;
Daewoo Lanos;900 000 ₸;;;
ИЖ 2717;900 000 ₸;;;
Opel Astra;900 000 ₸;;;
Opel Astra;900 000 ₸;;;
Audi 100;900 000 ₸;;;
Opel Vectra;900 000 ₸;;;
Renault Logan;900 000 ₸;;;
Mercedes-Benz E 230;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
Audi 80;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
BMW 520;900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
Daewoo Matiz;900 000 ₸;;;
ВАЗ (Lada) 2110 (седан);900 000 ₸;;;
Volkswagen Vento;900 000 ₸;;;
Mazda Efini MS-8;900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
Volvo S40;900 000 ₸;;;
Nissan Primera;900 000 ₸;;;
ВАЗ (Lada) 21099 (седан);900 000 ₸;;;
ВАЗ (Lada) 21099 (седан);900 000 ₸;;;
Opel Vectra;900 000 ₸;;;
Nissan Primera;900 000 ₸;;;
Nissan Terrano;900 000 ₸;;;
Mercedes-Benz E 200;900 000 ₸;;;
Volkswagen Golf;900 000 ₸;;;
ВАЗ (Lada) 21099 (седан);900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
Toyota Vista;900 000 ₸;;;
Rover 45;900 000 ₸;;;
ВАЗ (Lada) 21099 (седан);900 000 ₸;;;
ВАЗ (Lada) 2121 Нива;900 000 ₸;;;
ВАЗ (Lada) 2107;900 000 ₸;;;
Mazda 626;900 000 ₸;;;
Mazda Cronos;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
ВАЗ (Lada) 2107;900 000 ₸;;;
ВАЗ (Lada) 2107;900 000 ₸;;;
Mazda 626;900 000 ₸;;;
ВАЗ (Lada) 2121 Нива;900 000 ₸;;;
Mitsubishi RVR;900 000 ₸;;;
Mercedes-Benz E 260;900 000 ₸;;;
Audi 80;900 000 ₸;;;
ГАЗ 2410 (Волга);900 000 ₸;;;
ВАЗ (Lada) 2112 (хэтчбек);900 000 ₸;;;
Audi 80;900 000 ₸;;;
Mercedes-Benz Sprinter;900 000 ₸;;;
Nissan Micra;900 000 ₸;;;
ВАЗ (Lada) 2109 (хэтчбек);900 000 ₸;;;
Audi 80;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2107;900 000 ₸;;;
ГАЗ 31105 (Волга);900 000 ₸;;;
Mitsubishi Galant;900 000 ₸;;;
Mazda 626;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
ВАЗ (Lada) 2101;900 000 ₸;;;
Ford Focus;900 000 ₸;;;
ВАЗ (Lada) 2110 (седан);900 000 ₸;;;
Mercedes-Benz 190;900 000 ₸;;;
ГАЗ ГАЗель;900 000 ₸;;;
ВАЗ (Lada) 21099 (седан);900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2110 (седан);900 000 ₸;;;
Mercedes-Benz E 200;900 000 ₸;;;
Nissan Sunny;900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
Volkswagen Golf;900 000 ₸;;;
Volkswagen Vento;900 000 ₸;;;
Volkswagen Vento;900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
ВАЗ (Lada) 2102;900 000 ₸;;;
Mercedes-Benz E 240;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
Volkswagen Golf;900 000 ₸;;;
Opel Tigra;900 000 ₸;;;
Audi 100;900 000 ₸;;;
Audi 100;900 000 ₸;;;
ВАЗ (Lada) 2112 (хэтчбек);900 000 ₸;;;
Audi 100;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2106;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
Mercedes-Benz E 260;900 000 ₸;;;
Suzuki Cultus;900 000 ₸;;;
ВАЗ (Lada) 2107;900 000 ₸;;;
Audi 200;900 000 ₸;;;
ГАЗ 24 (Волга);900 000 ₸;;;
Mitsubishi Delica;900 000 ₸;;;
ВАЗ (Lada) 2113 (хэтчбек);900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
Toyota Celica;900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
ВАЗ (Lada) 2115 (седан);900 000 ₸;;;
ВАЗ (Lada) 21099 (седан);900 000 ₸;;;
Mitsubishi Galant;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
Volkswagen Golf;900 000 ₸;;;
Toyota Soarer;900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
Mazda 626;900 000 ₸;;;
Mercedes-Benz E 230;900 000 ₸;;;
Renault Logan;900 000 ₸;;;
Audi 100;900 000 ₸;;;
Mercedes-Benz 190;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
Mazda 323;900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
Mercedes-Benz 190;900 000 ₸;;;
ЗАЗ Sens;900 000 ₸;;;
BMW 323;900 000 ₸;;;
Mazda 323;900 000 ₸;;;
BMW 520;900 000 ₸;;;
УАЗ Буханка;900 000 ₸;;;
ВАЗ (Lada) 2107;900 000 ₸;;;
BMW 520;900 000 ₸;;;
ВАЗ (Lada) 2114 (хэтчбек);900 000 ₸;;;
Mercedes-Benz E 200;900 000 ₸;;;
Volkswagen Passat;900 000 ₸;;;
ВАЗ (Lada) 2110 (седан);900 000 ₸;;;
ВАЗ (Lada) 2110 (седан);900 000 ₸;;;
Daewoo Matiz;900 000 ₸;;;
Daewoo Nexia;900 000 ₸;;;
ВАЗ (Lada) Priora 2170 (седан);900 000 ₸;;;
